"geo","time","yearly_co2_emissions_1000_tonnes"
"ken",2001,9369.185
"ken",2002,7968.391
"ken",2003,6754.614
"ken",2004,7623.693
"ken",2005,8562.445
"ken",2006,9574.537
"ken",2007,9831.227
"ken",2008,10241.931
"ken",2009,12350.456
"ken",2010,12174.44
"ken",2011,13457.89
"ken",2012,12515.471
"ken",2013,13333.212
"ken",2014,14286.632
"rwa",1962,84.341
"rwa",1963,84.341
"rwa",1964,36.67
"rwa",1965,47.671
"rwa",1966,44.004
"rwa",1967,40.337
"rwa",1968,55.005
"rwa",1969,58.672
"rwa",1970,58.672
"rwa",1971,62.339
"rwa",1972,66.006
"rwa",1973,69.673
"rwa",1974,73.34
"rwa",1975,176.016
"rwa",1976,267.691
"rwa",1977,267.691
"rwa",1978,289.693
"rwa",1979,297.027
"rwa",1980,495.045
"rwa",1981,601.388
"rwa",1982,608.722
"rwa",1983,696.73
"rwa",1984,634.391
"rwa",1985,616.056
"rwa",1986,597.721
"rwa",1987,616.056
"rwa",1988,696.73
"rwa",1989,689.396
"rwa",1990,542.716
"rwa",1991,487.711
"rwa",1992,487.711
"rwa",1993,495.045
"rwa",1994,473.043
"rwa",1995,462.042
"rwa",1996,480.377
"rwa",1997,498.712
"rwa",1998,487.711
"rwa",1999,509.713
"rwa",2000,528.048
"rwa",2001,531.715
"rwa",2002,531.715
"rwa",2003,520.714
"rwa",2004,528.048
"rwa",2005,528.048
"rwa",2006,528.048
"rwa",2007,557.384
"rwa",2008,542.716
"rwa",2009,575.719
"rwa",2010,590.387
"rwa",2011,663.727
"rwa",2012,737.067
"rwa",2013,803.073
"rwa",2014,839.743
"ssd",2012,1331.121
"ssd",2013,1448.465
"ssd",2014,1496.136
"tza",1950,498.712
"tza",1951,447.374
"tza",1952,539.049
"tza",1953,528.048
"tza",1954,539.049
"tza",1955,557.384
"tza",1956,660.06
"tza",1957,762.736
"tza",1958,803.073
"tza",1959,689.396
"tza",1960,828.742
"tza",1961,704.064
"tza",1962,766.403
"tza",1963,803.073
"tza",1964,1034.094
"tza",1965,1162.439
"tza",1966,1371.458
"tza",1967,1760.16
"tza",1968,1653.817
"tza",1969,1796.83
"tza",1970,1767.494
"tza",1971,2464.224
"tza",1972,2167.197
"tza",1973,3186.623
"tza",1974,2306.543
"tza",1975,2284.541
"tza",1976,2790.587
"tza",1977,2013.183
"tza",1978,2203.867
"tza",1979,2071.855
"tza",1980,1884.838
"tza",1981,2123.193
"tza",1982,2167.197
"tza",1983,2218.535
"tza",1984,2368.882
"tza",1985,2357.881
"tza",1986,2299.209
"tza",1987,2390.884
"tza",1988,2288.208
"tza",1989,2207.534
"tza",1990,2266.206
"tza",1991,2398.218
"tza",1992,2324.878
"tza",1993,2596.236
"tza",1994,2405.552
"tza",1995,3553.323
"tza",1996,3461.648
"tza",1997,2882.262
"tza",1998,2555.899
"tza",1999,2537.564
"tza",2000,2651.241
"tza",2001,3127.951
"tza",2002,3589.993
"tza",2003,3806.346
"tza",2004,4363.73
"tza",2005,5504.167
"tza",2006,6028.548
"tza",2007,5896.536
"tza",2008,6142.225
"tza",2009,5918.538
"tza",2010,7106.646
"tza",2011,8093.069
"tza",2012,9545.201
"tza",2013,11177.016
"tza",2014,11562.051
"uga",1950,106.343
"uga",1951,139.346
"uga",1952,143.013
"uga",1953,209.019
"uga",1954,220.02
"uga",1955,264.024
"uga",1956,264.024
"uga",1957,278.692
"uga",1958,293.36
"uga",1959,414.371
"uga",1960,421.705
"uga",1961,407.037
"uga",1962,429.039
"uga",1963,432.706
"uga",1964,491.378
"uga",1965,627.057
"uga",1966,733.4
"uga",1967,810.407
"uga",1968,982.756
"uga",1969,1177.107
"uga",1970,1444.798
"uga",1971,1441.131
"uga",1972,1382.459
"uga",1973,1180.774
"uga",1974,1195.442
"uga",1975,1133.103
"uga",1976,990.09
"uga",1977,806.74
"uga",1978,700.397
"uga",1979,674.728
"uga",1980,627.057
"uga",1981,528.048
"uga",1982,546.383
"uga",1983,616.056
"uga",1984,583.053
"uga",1985,619.723
"uga",1986,704.064
"uga",1987,770.07
"uga",1988,865.412
"uga",1989,803.073
"uga",1990,759.069
"uga",1991,781.071
"uga",1992,788.405
"uga",1993,781.071
"uga",1994,707.731
"uga",1995,938.752
"uga",1996,1059.763
"uga",1997,1107.434
"uga",1998,1265.115
"uga",1999,1312.786
"uga",2000,1430.13
"uga",2001,1510.804
"uga",2002,1558.475
"uga",2003,1598.812
"uga",2004,1738.158
"uga",2005,2170.864
"uga",2006,2537.564
"uga",2007,2889.596
"uga",2008,3190.29
"uga",2009,3380.974
"uga",2010,3920.023
"uga",2011,4264.721
"uga",2012,4070.37
"uga",2013,4869.776
"uga",2014,5229.142
