"geo","time","cumulative_co2_emissions_tonnes"
"ken",1950,909416
"ken",1951,2302876
"ken",1952,3894354
"ken",1953,5408825
"ken",1954,7110313
"ken",1955,9097827
"ken",1956,11320029
"ken",1957,13604570
"ken",1958,15694760
"ken",1959,17905961
"ken",1960,20333515
"ken",1961,22735400
"ken",1962,25360972
"ken",1963,28217565
"ken",1964,31044822
"ken",1965,33512713
"ken",1966,36196957
"ken",1967,38899536
"ken",1968,41719459
"ken",1969,44851077
"ken",1970,47935024
"ken",1971,51620359
"ken",1972,55492711
"ken",1973,59412734
"ken",1974,64363184
"ken",1975,69339303
"ken",1976,73948722
"ken",1977,79005515
"ken",1978,84329999
"ken",1979,89368457
"ken",1980,95565687
"ken",1981,102092947
"ken",1982,106786707
"ken",1983,111447464
"ken",1984,115767190
"ken",1985,119536866
"ken",1986,123698911
"ken",1987,128873048
"ken",1988,133662150
"ken",1989,138854622
"ken",1990,144677818
"ken",1991,149518258
"ken",1992,155059095
"ken",1993,161406672
"ken",1994,167963268
"ken",1995,175517288
"ken",1996,184846136
"ken",1997,193111554
"ken",1998,203148133
"ken",1999,213320391
"ken",2000,223738338
"ken",2001,233107523
"ken",2002,241075914
"ken",2003,247830528
"ken",2004,255454221
"ken",2005,264016666
"ken",2006,273591203
"ken",2007,283422430
"ken",2008,293664361
"ken",2009,306014817
"ken",2010,318189257
"ken",2011,331647147
"ken",2012,344162618
"ken",2013,357495830
"ken",2014,371782462
"rwa",1962,84341
"rwa",1963,168682
"rwa",1964,205352
"rwa",1965,253023
"rwa",1966,297027
"rwa",1967,337364
"rwa",1968,392369
"rwa",1969,451041
"rwa",1970,509713
"rwa",1971,572052
"rwa",1972,638058
"rwa",1973,707731
"rwa",1974,781071
"rwa",1975,957087
"rwa",1976,1224778
"rwa",1977,1492469
"rwa",1978,1782162
"rwa",1979,2079189
"rwa",1980,2574234
"rwa",1981,3175622
"rwa",1982,3784344
"rwa",1983,4481074
"rwa",1984,5115465
"rwa",1985,5731521
"rwa",1986,6329242
"rwa",1987,6945298
"rwa",1988,7642028
"rwa",1989,8331424
"rwa",1990,8874140
"rwa",1991,9361851
"rwa",1992,9849562
"rwa",1993,10344607
"rwa",1994,10817650
"rwa",1995,11279692
"rwa",1996,11760069
"rwa",1997,12258781
"rwa",1998,12746492
"rwa",1999,13256205
"rwa",2000,13784253
"rwa",2001,14315968
"rwa",2002,14847683
"rwa",2003,15368397
"rwa",2004,15896445
"rwa",2005,16424493
"rwa",2006,16952541
"rwa",2007,17509925
"rwa",2008,18052641
"rwa",2009,18628360
"rwa",2010,19218747
"rwa",2011,19882474
"rwa",2012,20619541
"rwa",2013,21422614
"rwa",2014,22262357
"ssd",2012,1331121
"ssd",2013,2779586
"ssd",2014,4275722
"tza",1950,498712
"tza",1951,946086
"tza",1952,1485135
"tza",1953,2013183
"tza",1954,2552232
"tza",1955,3109616
"tza",1956,3769676
"tza",1957,4532412
"tza",1958,5335485
"tza",1959,6024881
"tza",1960,6853623
"tza",1961,7557687
"tza",1962,8324090
"tza",1963,9127163
"tza",1964,10161257
"tza",1965,11323696
"tza",1966,12695154
"tza",1967,14455314
"tza",1968,16109131
"tza",1969,17905961
"tza",1970,19673455
"tza",1971,22137679
"tza",1972,24304876
"tza",1973,27491499
"tza",1974,29798042
"tza",1975,32082583
"tza",1976,34873170
"tza",1977,36886353
"tza",1978,39090220
"tza",1979,41162075
"tza",1980,43046913
"tza",1981,45170106
"tza",1982,47337303
"tza",1983,49555838
"tza",1984,51924720
"tza",1985,54282601
"tza",1986,56581810
"tza",1987,58972694
"tza",1988,61260902
"tza",1989,63468436
"tza",1990,65734642
"tza",1991,68132860
"tza",1992,70457738
"tza",1993,73053974
"tza",1994,75459526
"tza",1995,79012849
"tza",1996,82474497
"tza",1997,85356759
"tza",1998,87912658
"tza",1999,90450222
"tza",2000,93101463
"tza",2001,96229414
"tza",2002,99819407
"tza",2003,103625753
"tza",2004,107989483
"tza",2005,113493650
"tza",2006,119522198
"tza",2007,125418734
"tza",2008,131560959
"tza",2009,137479497
"tza",2010,144586143
"tza",2011,152679212
"tza",2012,162224413
"tza",2013,173401429
"tza",2014,184963480
"uga",1950,106343
"uga",1951,245689
"uga",1952,388702
"uga",1953,597721
"uga",1954,817741
"uga",1955,1081765
"uga",1956,1345789
"uga",1957,1624481
"uga",1958,1917841
"uga",1959,2332212
"uga",1960,2753917
"uga",1961,3160954
"uga",1962,3589993
"uga",1963,4022699
"uga",1964,4514077
"uga",1965,5141134
"uga",1966,5874534
"uga",1967,6684941
"uga",1968,7667697
"uga",1969,8844804
"uga",1970,10289602
"uga",1971,11730733
"uga",1972,13113192
"uga",1973,14293966
"uga",1974,15489408
"uga",1975,16622511
"uga",1976,17612601
"uga",1977,18419341
"uga",1978,19119738
"uga",1979,19794466
"uga",1980,20421523
"uga",1981,20949571
"uga",1982,21495954
"uga",1983,22112010
"uga",1984,22695063
"uga",1985,23314786
"uga",1986,24018850
"uga",1987,24788920
"uga",1988,25654332
"uga",1989,26457405
"uga",1990,27216474
"uga",1991,27997545
"uga",1992,28785950
"uga",1993,29567021
"uga",1994,30274752
"uga",1995,31213504
"uga",1996,32273267
"uga",1997,33380701
"uga",1998,34645816
"uga",1999,35958602
"uga",2000,37388732
"uga",2001,38899536
"uga",2002,40458011
"uga",2003,42056823
"uga",2004,43794981
"uga",2005,45965845
"uga",2006,48503409
"uga",2007,51393005
"uga",2008,54583295
"uga",2009,57964269
"uga",2010,61884292
"uga",2011,66149013
"uga",2012,70219383
"uga",2013,75089159
"uga",2014,80318301
