"geo","time","total_population_with_projections"
"ken",1980,16270000
"ken",1981,16900000
"ken",1982,17560000
"ken",1983,18240000
"ken",1984,18940000
"ken",1985,19660000
"ken",1986,20390000
"ken",1987,21130000
"ken",1988,21890000
"ken",1989,22670000
"ken",1990,23450000
"ken",1991,24240000
"ken",1992,25040000
"ken",1993,25850000
"ken",1994,26640000
"ken",1995,27430000
"ken",1996,28190000
"ken",1997,28940000
"ken",1998,29700000
"ken",1999,30460000
"ken",2000,31250000
"ken",2001,32080000
"ken",2002,32930000
"ken",2003,33810000
"ken",2004,34700000
"ken",2005,35610000
"ken",2006,36540000
"ken",2007,37490000
"ken",2008,38460000
"ken",2009,39460000
"ken",2010,40510000
"ken",2011,41610000
"ken",2012,42750000
"ken",2013,43920000
"ken",2050,96890000
"ken",2100,160000000
"rwa",1800,928400
"rwa",1820,928400
"rwa",1950,2072000
"rwa",1951,2128000
"rwa",1952,2188000
"rwa",1953,2250000
"rwa",1954,2316000
"rwa",1955,2386000
"rwa",1956,2457000
"rwa",1957,2532000
"rwa",1958,2609000
"rwa",1959,2689000
"rwa",1960,2771000
"rwa",1961,2856000
"rwa",1962,2943000
"rwa",1963,3033000
"rwa",1964,3125000
"rwa",1965,3221000
"rwa",1966,3319000
"rwa",1967,3421000
"rwa",1968,3526000
"rwa",1969,3635000
"rwa",1970,3749000
"rwa",1971,3867000
"rwa",1972,3989000
"rwa",1973,4116000
"rwa",1974,4250000
"rwa",1975,4390000
"rwa",1976,4536000
"rwa",1977,4689000
"rwa",1978,4848000
"rwa",1979,5011000
"rwa",1980,5179000
"rwa",1981,5343000
"rwa",1982,5503000
"rwa",1983,5669000
"rwa",1984,5859000
"rwa",1985,6081000
"rwa",1986,6356000
"rwa",1987,6672000
"rwa",1988,6960000
"rwa",1989,7125000
"rwa",1990,7110000
"rwa",1991,6871000
"rwa",1992,6453000
"rwa",1993,5984000
"rwa",1994,5648000
"rwa",1995,5570000
"rwa",1996,5804000
"rwa",1997,6298000
"rwa",1998,6944000
"rwa",1999,7583000
"rwa",2000,8098000
"rwa",2001,8457000
"rwa",2002,8696000
"rwa",2003,8858000
"rwa",2004,9010000
"rwa",2005,9202000
"rwa",2006,9441000
"rwa",2007,9711000
"rwa",2008,10000000
"rwa",2009,10310000
"rwa",2010,10620000
"rwa",2011,10940000
"rwa",2012,11270000
"rwa",2013,11610000
"rwa",2050,26000000
"rwa",2100,42320000
"ssd",1600,859300
"ssd",1700,900200
"ssd",1800,1027000
"ssd",1820,1055000
"ssd",1950,1880000
"ssd",1951,1920000
"ssd",1952,1962000
"ssd",1953,2007000
"ssd",1954,2054000
"ssd",1955,2102000
"ssd",1956,2152000
"ssd",1957,2204000
"ssd",1958,2256000
"ssd",1959,2310000
"ssd",1960,2365000
"ssd",1961,2422000
"ssd",1962,2480000
"ssd",1963,2540000
"ssd",1964,2601000
"ssd",1965,2664000
"ssd",1966,2729000
"ssd",1967,2796000
"ssd",1968,2866000
"ssd",1969,2941000
"ssd",1970,3021000
"ssd",1971,3107000
"ssd",1972,3199000
"ssd",1973,3296000
"ssd",1974,3398000
"ssd",1975,3505000
"ssd",1976,3616000
"ssd",1977,3730000
"ssd",1978,3850000
"ssd",1979,3975000
"ssd",1980,4106000
"ssd",1981,4245000
"ssd",1982,4391000
"ssd",1983,4538000
"ssd",1984,4681000
"ssd",1985,4817000
"ssd",1986,4943000
"ssd",1987,5061000
"ssd",1988,5176000
"ssd",1989,5294000
"ssd",1990,5421000
"ssd",1991,5557000
"ssd",1992,5701000
"ssd",1993,5853000
"ssd",1994,6008000
"ssd",1995,6167000
"ssd",1996,6328000
"ssd",1997,6493000
"ssd",1998,6659000
"ssd",1999,6827000
"ssd",2000,6995000
"ssd",2001,7161000
"ssd",2002,7328000
"ssd",2003,7497000
"ssd",2004,7673000
"ssd",2005,7859000
"ssd",2006,8055000
"ssd",2007,8260000
"ssd",2008,8473000
"ssd",2009,8941000
"ssd",2010,9415000
"ssd",2011,9897000
"ssd",2012,10390000
"ssd",2013,10880000
"ssd",2050,22050000
"ssd",2100,30930000
"tza",1800,3020000
"tza",1820,3020000
"tza",1921,4314000
"tza",1931,5299000
"tza",1948,7741000
"tza",1950,7650000
"tza",1951,7847000
"tza",1952,8056000
"tza",1953,8275000
"tza",1954,8503000
"tza",1955,8741000
"tza",1956,8988000
"tza",1957,9244000
"tza",1958,9511000
"tza",1959,9787000
"tza",1960,10070000
"tza",1961,10370000
"tza",1962,10680000
"tza",1963,11010000
"tza",1964,11340000
"tza",1965,11680000
"tza",1966,12040000
"tza",1967,12410000
"tza",1968,12790000
"tza",1969,13190000
"tza",1970,13600000
"tza",1971,14040000
"tza",1972,14500000
"tza",1973,14980000
"tza",1974,15470000
"tza",1975,15980000
"tza",1976,16490000
"tza",1977,17020000
"tza",1978,17560000
"tza",1979,18110000
"tza",1980,18690000
"tza",1981,19280000
"tza",1982,19900000
"tza",1983,20530000
"tza",1984,21180000
"tza",1985,21850000
"tza",1986,22530000
"tza",1987,23220000
"tza",1988,23930000
"tza",1989,24680000
"tza",1990,25480000
"tza",1991,26330000
"tza",1992,27230000
"tza",1993,28150000
"tza",1994,29060000
"tza",1995,29940000
"tza",1996,30780000
"tza",1997,31590000
"tza",1998,32390000
"tza",1999,33200000
"tza",2000,34040000
"tza",2001,34920000
"tza",2002,35830000
"tza",2003,36790000
"tza",2004,37790000
"tza",2005,38830000
"tza",2006,39920000
"tza",2007,41070000
"tza",2008,42270000
"tza",2009,43520000
"tza",2010,44840000
"tza",2011,46220000
"tza",2012,47660000
"tza",2013,49150000
"tza",2050,138300000
"tza",2100,316300000
"uga",1800,2101000
"uga",1820,2101000
"uga",1911,2843000
"uga",1921,2921000
"uga",1931,3554000
"uga",1948,4959000
"uga",1950,5158000
"uga",1951,5307000
"uga",1952,5453000
"uga",1953,5600000
"uga",1954,5747000
"uga",1955,5899000
"uga",1956,6056000
"uga",1957,6221000
"uga",1958,6397000
"uga",1959,6585000
"uga",1960,6788000
"uga",1961,7007000
"uga",1962,7241000
"uga",1963,7488000
"uga",1964,7747000
"uga",1965,8014000
"uga",1966,8291000
"uga",1967,8576000
"uga",1968,8867000
"uga",1969,9158000
"uga",1970,9446000
"uga",1971,9730000
"uga",1972,10010000
"uga",1973,10300000
"uga",1974,10590000
"uga",1975,10900000
"uga",1976,11220000
"uga",1977,11560000
"uga",1978,11920000
"uga",1979,12280000
"uga",1980,12660000
"uga",1981,13050000
"uga",1982,13450000
"uga",1983,13870000
"uga",1984,14320000
"uga",1985,14800000
"uga",1986,15330000
"uga",1987,15890000
"uga",1988,16480000
"uga",1989,17090000
"uga",1990,17700000
"uga",1991,18310000
"uga",1992,18940000
"uga",1993,19560000
"uga",1994,20190000
"uga",1995,20830000
"uga",1996,21470000
"uga",1997,22120000
"uga",1998,22790000
"uga",1999,23480000
"uga",2000,24210000
"uga",2001,24980000
"uga",2002,25790000
"uga",2003,26640000
"uga",2004,27520000
"uga",2005,28430000
"uga",2006,29370000
"uga",2007,30340000
"uga",2008,31340000
"uga",2009,32370000
"uga",2010,33420000
"uga",2011,34510000
"uga",2012,35620000
"uga",2013,36760000
"uga",2050,94260000
"uga",2100,171200000
